,word,lemma
0,Two,two
1,points,point
2,anyone,anyon
3,identify,identifi
4,bit,bit
5,dialogue,dialogu
6,one,one
7,favorite,favorit
8,bits,bit
9,Hint,hint
10,Director,director
11,Steven,steven
12,Soderbergh,soderbergh
13,insists,insist
14,meaningless,meaningless
15,Back,back
16,About,about
17,Schmidt,schmidt
18,moment,moment
19,I,I
20,love,love
21,name,name
22,Does,doe
23,else,els
24,feel,feel
25,way,way
26,So,So
27,many,mani
28,superfluous,superflu
29,letters,letter
30,kooky,kooki
31,c,c
32,silent,silent
33,Along,along
34,lines,line
35,took,took
36,Michael,michael
37,Moore,moor
38,really,realli
39,help,help
40,memorize,memor
41,spelling,spell
42,Fahrenheit,fahrenheit
43,Yes,ye
44,still,still
45,adhering,adher
46,rule,rule
47,periods,period
48,need,need
49,go,go
50,inside,insid
51,quotation,quotat
52,marks,mark
53,The,the
54,parents,parent
55,going,go
56,try,tri
57,think,think
58,something,someth
59,cook,cook
60,lest,lest
61,end,end
62,Axl,axl
63,Bonfire,bonfir
64,Grill,grill
65,street,street
66,Let,let
67,see,see
68,corn,corn
69,cob,cob
70,fresh,fresh
71,grimy,grimi
72,stove,stove
73,top,top
74,perhaps,perhap
75,nice,nice
76,walleye,walley
77,salad,salad
78,Decisions,decis
79,decisions,decis
